"1";"2";"3";"4";"5"
"219";"103019";"39.464672";"-0.381692";"-0.378032,39.463196 -0.380006,39.463381 -0.381681,39.465736 -0.382144,39.465567 -0.382997,39.466689 -0.385565,39.463704 -0.384412,39.462860 -0.382724,39.462495 -0.382389,39.462128 -0.381970,39.461644 -0.378934,39.460705 -0.378032,39.463196"
"219";"103020";"39.470348";"-0.387976";"-0.386119,39.471886 -0.387229,39.473413 -0.390359,39.472198 -0.391696,39.471657 -0.389574,39.468671 -0.388268,39.469196 -0.387533,39.468116 -0.384427,39.469497 -0.386119,39.471886"
"219";"103021";"39.465073";"-0.386033";"-0.382996,39.466689 -0.382663,39.467107 -0.383129,39.467728 -0.384426,39.469498 -0.387532,39.468116 -0.388268,39.469196 -0.389574,39.468671 -0.388890,39.467729 -0.390220,39.467184 -0.387428,39.463273 -0.386757,39.462343 -0.385566,39.463704 -0.382996,39.466689"
"219";"103022";"39.475220";"-0.391123";"-0.396353,39.475730 -0.395295,39.474285 -0.392189,39.474511 -0.391976,39.474438 -0.390333,39.474688 -0.390703,39.475291 -0.389469,39.475549 -0.388932,39.475743 -0.390627,39.478141 -0.396353,39.475730"
"219";"103023";"39.469635";"-0.392640";"-0.388891,39.467729 -0.389574,39.468670 -0.391696,39.471657 -0.392625,39.471252 -0.393019,39.471069 -0.394472,39.470535 -0.395186,39.468315 -0.395370,39.467930 -0.393273,39.467561 -0.392650,39.467539 -0.391746,39.467312 -0.390482,39.467081 -0.390220,39.467184 -0.388891,39.467729"
"219";"103025";"39.473568";"-0.392530";"-0.395312,39.474053 -0.396736,39.473809 -0.396850,39.472386 -0.397342,39.472183 -0.397387,39.471297 -0.394472,39.470535 -0.393019,39.471069 -0.392624,39.471253 -0.391696,39.471657 -0.390360,39.472198 -0.391976,39.474438 -0.392189,39.474511 -0.395296,39.474284 -0.395312,39.474053"
"219";"103026";"39.461441";"-0.385435";"-0.386876,39.462191 -0.385921,39.460839 -0.386066,39.460646 -0.385707,39.460243 -0.385529,39.460201 -0.384314,39.458475 -0.384001,39.458493 -0.382521,39.456442 -0.382023,39.455893 -0.381504,39.455547 -0.380895,39.455373 -0.378934,39.460705 -0.381971,39.461644 -0.382389,39.462127 -0.382724,39.462495 -0.384412,39.462860 -0.385566,39.463704 -0.386757,39.462342 -0.386876,39.462191"
"219";"103027";"39.465412";"-0.381265";"-0.382996,39.466689 -0.382144,39.465567 -0.381680,39.465736 -0.380006,39.463381 -0.378031,39.463196 -0.376860,39.466440 -0.378280,39.466124 -0.380869,39.466802 -0.380506,39.467308 -0.381932,39.467926 -0.382663,39.467106 -0.382996,39.466689"
"219";"103028";"39.465073";"-0.392925";"-0.395370,39.467930 -0.395401,39.467661 -0.394482,39.465422 -0.394695,39.465229 -0.396039,39.463967 -0.392246,39.464115 -0.392177,39.464374 -0.391956,39.464820 -0.390482,39.467081 -0.391748,39.467312 -0.392650,39.467539 -0.393274,39.467561 -0.395370,39.467930"
"219";"105037";"39.471516";"-0.338484";"-0.338172,39.469570 -0.334855,39.468735 -0.334661,39.470046 -0.334438,39.470985 -0.334064,39.472804 -0.334451,39.472945 -0.335583,39.473277 -0.336440,39.473505 -0.337005,39.473706 -0.337057,39.473523 -0.338576,39.474065 -0.338576,39.474270 -0.339380,39.474557 -0.340521,39.474766 -0.341170,39.474731 -0.341436,39.473781 -0.342788,39.470962 -0.338172,39.469570"
"219";"105038";"39.461491";"-0.342067";"-0.346255,39.463962 -0.347795,39.460872 -0.340394,39.459076 -0.339951,39.460914 -0.338754,39.461697 -0.346255,39.463962"
